,lambda [nm],gain
209,1533.6,0.918121383536457
210,1534.0,0.8495718441716303
211,1534.4,0.7661259483016183
212,1534.8,0.6714289099625164
213,1535.2,0.5814337098428213
214,1535.6,0.5039646639595898
215,1536.0,0.4401493956936756
216,1536.4,0.38353064883880533
217,1536.8,0.3367441756728312
218,1537.2,0.29867582779349083
219,1537.6,0.26754700095765277
220,1538.0,0.24451194324524878
221,1538.4,0.22777188441070434
222,1538.8,0.21732017989561073
223,1539.2,0.20970082294946835
224,1539.6,0.20272162041728756
225,1540.0,0.19751498162059386
226,1540.4,0.19435695775873005
227,1540.8,0.19279692696143413
228,1541.2,0.19275255246297052
229,1541.6,0.19399926677530285
230,1542.0,0.19601986304775204
231,1542.4,0.19870101206382307
232,1542.8,0.2017437551605683
233,1543.2,0.20521072775571442
234,1543.6,0.2090259123838306
235,1544.0,0.2133045433445919
236,1544.4,0.2188769581118674
237,1544.8,0.22459499557881304
238,1545.2,0.23014422408982324
239,1545.6,0.23561343910726873
240,1546.0,0.23938675837086576
241,1546.4,0.24434308782386993
242,1546.8,0.25020735204125016
243,1547.2,0.25544656311377945
244,1547.6,0.26103579837157204
245,1548.0,0.2660725595071317
246,1548.4,0.27083206134181975
247,1548.8,0.2751059992927959
248,1549.2,0.27912586419916574
249,1549.6,0.2828134547196577
250,1550.0,0.2870780995819504
251,1550.4,0.29053610434651694
252,1550.8,0.2931568947515888
253,1551.2,0.294781419584348
254,1551.6,0.2956650993872602
255,1552.0,0.2955290021034906
256,1552.4,0.29457785447673634
257,1552.8,0.29302191263846117
258,1553.2,0.2910047548088249
259,1553.6,0.2886024913841451
260,1554.0,0.2833348899256878
261,1554.4,0.279190125907412
262,1554.8,0.27574020613000005
263,1555.2,0.2726465833727128
264,1555.6,0.2701469748440736
265,1556.0,0.2679168658872553
266,1556.4,0.26582759368943515
267,1556.8,0.26326920637487294
268,1557.2,0.2602555971111504
269,1557.6,0.2563303823130219
270,1558.0,0.2514201465798878
271,1558.4,0.246206816759342
272,1558.8,0.24071330031498922
273,1559.2,0.23436895513622039
274,1559.6,0.22698652548606338
275,1560.0,0.21907866460174233
276,1560.4,0.21086287722389419
277,1560.8,0.20225538615803731
278,1561.2,0.19368683313376425
279,1561.6,0.18518254181773744
280,1562.0,0.17680723857263733
281,1562.4,0.1677258929148098
282,1562.8,0.15870848370712456
283,1563.2,0.1498649481887073
284,1563.6,0.1414816528873394
285,1564.0,0.1334750529357564
286,1564.4,0.12563196487955924
287,1564.8,0.11808644152300712
288,1565.2,0.11127562975777099
289,1565.6,0.10427979259684676
290,1566.0,0.09763379375941215
291,1566.4,0.09168538062400303
292,1566.8,0.08609939794724963
293,1567.2,0.08089099346370607
294,1567.6,0.07603265963086922
295,1568.0,0.07138388494784485
296,1568.4,0.0669268266843607
297,1568.8,0.06280585297311463
298,1569.2,0.05899294515172593
299,1569.6,0.05555203967033697
300,1570.0,0.0525049288219105
301,1570.4,0.0492153148242886
302,1570.8,0.04622746600239668
303,1571.2,0.04361140577946478
304,1571.6,0.04123823901545301
305,1572.0,0.039075100702232246
306,1572.4,0.03709369338476128
307,1572.8,0.03523709224830947
308,1573.2,0.03351197902364022
309,1573.6,0.03193008623521643
310,1574.0,0.030464923933745853
311,1574.4,0.029147419518367093
312,1574.8,0.027906160249091948
