-40.655	-1.2456e-053	-1.8656e-025
-40.652	-1.2453e-053	-1.8652e-025
-40.65	-1.245e-053	-1.8648e-025
-40.647	-1.2448e-053	-1.8644e-025
-40.645	-1.2445e-053	-1.864e-025
-40.642	-1.2442e-053	-1.8636e-025
-40.64	-1.2439e-053	-1.8632e-025
-40.637	-1.2437e-053	-1.8628e-025
-40.635	-1.2434e-053	-1.8624e-025
-40.632	-1.2431e-053	-1.862e-025
-40.63	-1.2429e-053	-1.8616e-025
-40.627	-1.2426e-053	-1.8612e-025
-40.625	-1.2423e-053	-1.8608e-025
-40.622	-1.242e-053	-1.8603e-025
-40.62	-1.2418e-053	-1.8599e-025
-40.617	-1.2415e-053	-1.8595e-025
-40.615	-1.2412e-053	-1.8591e-025
-40.612	-1.241e-053	-1.8587e-025
-40.61	-1.2407e-053	-1.8583e-025
-40.607	-1.2404e-053	-1.8579e-025
-40.605	-1.2401e-053	-1.8575e-025
-40.602	-1.2399e-053	-1.8571e-025
-40.6	-1.2396e-053	-1.8567e-025
-40.597	-1.2393e-053	-1.8563e-025
-40.595	-1.239e-053	-1.8559e-025
-40.592	-1.2388e-053	-1.8555e-025
-40.59	-1.2385e-053	-1.855e-025
-40.587	-1.2382e-053	-1.8546e-025
-40.585	-1.238e-053	-1.8542e-025
-40.582	-1.2377e-053	-1.8538e-025
-40.58	-1.2374e-053	-1.8534e-025
-40.577	-1.2371e-053	-1.853e-025
-40.575	-1.2369e-053	-1.8526e-025
-40.572	-1.2366e-053	-1.8522e-025
-40.57	-1.2363e-053	-1.8518e-025
-40.567	-1.2361e-053	-1.8514e-025
-40.565	-1.2358e-053	-1.851e-025
-40.562	-1.2355e-053	-1.8506e-025
-40.56	-1.2352e-053	-1.8502e-025
-40.557	-1.235e-053	-1.8498e-025
-40.555	-1.2347e-053	-1.8493e-025
-40.552	-1.2344e-053	-1.8489e-025
-40.55	-1.2341e-053	-1.8485e-025
-40.547	-1.2339e-053	-1.8481e-025
-40.545	-1.2336e-053	-1.8477e-025
-40.542	-1.2333e-053	-1.8473e-025
-40.54	-1.2331e-053	-1.8469e-025
-40.537	-1.2328e-053	-1.8465e-025
-40.535	-1.2325e-053	-1.8461e-025
-40.532	-1.2322e-053	-1.8457e-025
-40.53	-1.232e-053	-1.8453e-025
-40.527	-1.2317e-053	-1.8449e-025
-40.525	-1.2314e-053	-1.8445e-025
-40.522	-1.2312e-053	-1.844e-025
