,lambda [nm],gain
0,2737.371907801709,0.001084546055758327
1,2737.121984208641,0.001084546055758327
2,2736.872106247736,0.001084546055758327
3,2736.622273906497,0.001084546055758327
4,2736.3724871724326,0.001084546055758327
5,2736.122746033055,0.001084546055758327
6,2735.8730504758814,0.001084546055758327
7,2735.6234004884345,0.001084546055758327
8,2735.37379605824,0.001084546055758327
9,2735.124237172828,0.001084546055758327
10,2734.874723819735,0.001084546055758327
11,2734.625255986501,0.001084546055758327
12,2734.37583366067,0.001084546055758327
13,2734.1264568297925,0.001084546055758327
14,2733.8771254814196,0.001084546055758327
15,2733.6278396031116,0.001084546055758327
16,2733.37859918243,0.001084546055758327
17,2733.129404206943,0.001084546055758327
18,2732.8802546642214,0.001084546055758327
19,2732.6311505418425,0.001084546055758327
20,2732.3820918273864,0.001084546055758327
21,2732.133078508439,0.001084546055758327
22,2731.8841105725896,0.001084546055758327
23,2731.635188007433,0.001084546055758327
24,2731.386310800568,0.001084546055758327
25,2731.1374789395977,0.001084546055758327
26,2730.8886924121307,0.001084546055758327
27,2730.6399512057797,0.001084546055758327
28,2730.391255308161,0.001084546055758327
29,2730.142604706896,0.001084546055758327
30,2729.893999389611,0.001084546055758327
31,2729.6454393439367,0.001084546055758327
32,2729.3969245575086,0.001084546055758327
33,2729.148455017965,0.001084546055758327
34,2728.9000307129504,0.001084546055758327
35,2728.651651630114,0.001084546055758327
36,2728.4033177571077,0.001084546055758327
37,2728.1550290815903,0.001084546055758327
38,2727.906785591223,0.001084546055758327
39,2727.658587273672,0.001084546055758327
40,2727.410434116609,0.001084546055758327
41,2727.1623261077093,0.001084546055758327
42,2726.9142632346525,0.001084546055758327
43,2726.6662454851235,0.001084546055758327
44,2726.418272846811,0.001084546055758327
45,2726.1703453074083,0.001084546055758327
46,2725.922462854614,0.001084546055758327
47,2725.674625476129,0.001084546055758327
48,2725.4268331596613,0.001084546055758327
49,2725.179085892922,0.001084546055758327
50,2724.9313836636265,0.001084546055758327
51,2724.6837264594956,0.001084546055758327
52,2724.4361142682533,0.001084546055758327
53,2724.188547077629,0.001084546055758327
54,2723.941024875357,0.001084546055758327
55,2723.6935476491744,0.001084546055758327
56,2723.446115386824,0.001084546055758327
57,2723.198728076053,0.001084546055758327
58,2722.9513857046127,0.001084546055758327
59,2722.704088260259,0.001084546055758327
60,2722.4568357307526,0.001084546055758327
61,2722.209628103857,0.001084546055758327
62,2721.9624653673427,0.001084546055758327
63,2721.7153475089835,0.001084546055758327
64,2721.4682745165564,0.001084546055758327
65,2721.221246377844,0.001084546055758327
66,2720.974263080635,0.001084546055758327
67,2720.727324612719,0.001084546055758327
68,2720.480430961892,0.001084546055758327
69,2720.233582115955,0.001084546055758327
70,2719.9867780627123,0.001084546055758327
71,2719.7400187899734,0.001084546055758327
72,2719.493304285551,0.001084546055758327
73,2719.246634537264,0.001084546055758327
74,2719.000009532934,0.001084546055758327
75,2718.7534292603887,0.001084546055758327
76,2718.506893707458,0.001084546055758327
77,2718.260402861979,0.001084546055758327
78,2718.013956711791,0.001084546055758327
79,2717.767555244738,0.001084546055758327
80,2717.52119844867,0.001084546055758327
81,2717.274886311439,0.001084546055758327
82,2717.028618820904,0.001084546055758327
83,2716.7823959649254,0.001084546055758327
84,2716.536217731371,0.001084546055758327
85,2716.290084108112,0.001084546055758327
86,2716.043995083022,0.001084546055758327
87,2715.7979506439815,0.001084546055758327
88,2715.5519507788754,0.001084546055758327
89,2715.305995475591,0.001084546055758327
90,2715.060084722021,0.001084546055758327
91,2714.814218506064,0.001084546055758327
92,2714.5683968156204,0.001084546055758327
93,2714.3226196385963,0.001084546055758327
94,2714.076886962903,0.001084546055758327
95,2713.831198776453,0.001084546055758327
96,2713.585555067168,0.001084546055758327
97,2713.33995582297,0.001084546055758327
98,2713.0944010317867,0.001084546055758327
99,2712.8488906815514,0.001084546055758327
100,2712.6034247602,0.001084546055758327
101,2712.3580032556733,0.001084546055758327
102,2712.1126261559175,0.001084546055758327
103,2711.867293448881,0.001084546055758327
104,2711.622005122518,0.001084546055758327
105,2711.3767611647886,0.001084546055758327
106,2711.1315615636536,0.001084546055758327
107,2710.886406307081,0.001084546055758327
108,2710.6412953830422,0.001084546055758327
109,2710.3962287795125,0.001084546055758327
110,2710.151206484473,0.001084546055758327
111,2709.9062284859074,0.001084546055758327
112,2709.6612947718045,0.001084546055758327
113,2709.4164053301583,0.001084546055758327
114,2709.1715601489655,0.001084546055758327
115,2708.926759216228,0.001084546055758327
116,2708.682002519953,0.001084546055758327
117,2708.43729004815,0.001084546055758327
118,2708.1926217888345,0.001084546055758327
119,2707.947997730025,0.001084546055758327
120,2707.7034178597455,0.001084546055758327
121,2707.458882166024,0.001084546055758327
122,2707.214390636892,0.001084546055758327
123,2706.9699432603866,0.001084546055758327
124,2706.725540024549,0.001084546055758327
125,2706.4811809174234,0.001084546055758327
126,2706.2368659270596,0.001084546055758327
127,2705.992595041512,0.001084546055758327
128,2705.7483682488373,0.001084546055758327
129,2705.504185537099,0.001084546055758327
130,2705.260046894364,0.001084546055758327
131,2705.0159523087027,0.001084546055758327
132,2704.7719017681907,0.001084546055758327
133,2704.527895260907,0.001084546055758327
134,2704.283932774936,0.001084546055758327
135,2704.0400142983667,0.001084546055758327
136,2703.79613981929,0.001084546055758327
137,2703.552309325804,0.001084546055758327
138,2703.3085228060095,0.001084546055758327
139,2703.064780248011,0.001084546055758327
140,2702.8210816399196,0.001084546055758327
141,2702.5774269698486,0.001084546055758327
142,2702.3338162259165,0.001084546055758327
